PV,TC,LAL,LAH-1,LAH-2,V-6,RV-4,"RV-1,2,3",Output
Normal,Low,Normal,Normal,Normal,Normal,Normal,Normal,Low risk
Normal,Low,Normal,Normal,Normal ,Normal,Normal,Medium,Low risk
Normal,Low ,Normal,Normal,Normal,Normal,Normal,Fail,Medium risk
Normal,Low ,Normal,Normal ,Normal,Normal,Medium,Normal,Low risk
Normal,Low ,Normal,Normal ,Normal,Normal,Medium,Medium,Medium risk
Normal,Low ,Normal ,Normal ,Normal,Normal,Medium,Fail,Medium risk
Normal,Low ,Normal ,Normal ,Normal,Medium,Fail,Normal,Medium risk
Normal,Low ,Normal ,Normal ,Normal ,Medium,Fail,Medium,Medium risk
Normal ,Low ,Normal ,Normal ,Normal ,Medium,Fail,Fail,High risk
Normal ,Low ,Normal ,Normal ,Medium,Medium,Normal,Normal,Medium risk
Normal ,Low ,Normal ,Normal ,Medium,Medium,Normal,Medium,Medium risk
Normal ,Low ,Normal ,Normal ,Medium,Medium,Normal,Fail,High risk
Normal ,Low ,Normal ,Normal,Medium,Fail,Medium,Normal,High risk
Normal ,Low ,Normal ,Normal ,Medium,Fail,Medium,Medium,High risk
Normal ,Low ,Normal ,Normal ,Medium,Fail,Medium,Fail,High risk
Normal ,Low ,Normal ,Normal ,Medium,Fail,Fail,Normal,High risk
Normal ,Low ,Normal ,Normal ,Medium,Fail,Fail,Medium,High risk
Normal ,Low ,Normal ,Normal ,Medium,Fail,Fail,Fail,Emergency
Normal ,Low ,Normal ,Medium,Fail,Normal ,Normal ,Normal ,High risk
Normal ,Low ,Normal ,Medium,Fail,Normal ,Normal ,Medium,High risk
Normal ,Low ,Normal ,Medium,Fail,Normal ,Normal ,Fail,High risk
Normal ,Low ,Normal ,Medium,Fail,Normal ,Medium,Normal ,High risk
Normal ,Low ,Normal ,Medium,Fail,Normal ,Medium,Medium,High risk
Normal ,Low ,Normal ,Medium,Fail,Normal ,Medium,Fail,High risk
Normal ,Low ,Normal ,Medium,Fail,Medium,Fail,Normal ,High risk
Normal ,Low ,Normal ,Medium,Fail,Medium,Fail,Medium,High risk
Normal ,Low ,Normal ,Medium,Fail,Medium,Fail,Fail,High risk
